transaction_date,amount,report,avg_L7,balance
20260104,-187.48,OVER,,3129.31
20260105,-15.420000000000002,OK,,3316.79
20260106,-749.87,OVER,,3332.21
20260107,-74.94,OK,,4082.08
20260108,-125.59,OK,,4157.02
20260109,-105.34,OK,,4282.61
20260110,363.87,OK,-894.77,4387.95
20260111,-346.27,OVER,-1053.56,4024.08
20260112,-100.91000000000001,OK,-1139.05,4370.35
20260113,-129.34,OK,-518.52,4471.26
20260114,201.89999999999998,OK,-241.68,4600.6
20260115,-52.36,OK,-168.45,4398.7
20260116,-134.62,OVER,-197.73,4451.0599999999995
20260117,-103.00999999999999,OK,-664.61,4585.68
20260118,-35.0,OK,-353.34000000000003,4688.6900000000005
20260121,-310.07,OVER,-562.5,4723.6900000000005
20260123,-496.53,OVER,-929.69,5033.76
20260124,-245.0,OVER,-1376.5900000000001,5530.29
20260125,-420.0,OVER,-1744.23,5775.29
